,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
175,76,274.7848506550358,10.0,0.9765791466260632,186.4093597669105,1.5,0.561415810423493,297.5308664201685,10.0,0.1273769003125792,236.21184581021424,1.5,0.6748431892624195,307.66972368784377,1.5,0.8910869627733548,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,2074051759.8250368,0,0.0,0.0,3.5726960740328355,0.0
176,84,209.7746204687601,1.0,0.5954082169500657,132.8077663115214,1.5,0.4428007818444936,173.82088082384195,10.0,0.1239589280085672,40.59756394812,1.5,0.7746843092198614,100.18613454949248,10.0,0.3725018182509571,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,1637466225.4660738,0,0.0,0.0,3.6334051328316974,0.0
178,69,304.8423348766669,10.0,0.3174926581659802,310.3588798439968,10.0,0.9930531937971632,180.97148997442932,10.0,0.0598470256770235,179.10456340032738,1.0,0.8217082144748812,266.9079452556733,1.5,0.8948102146292702,1.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,5470794056.719334,0,0.0,0.0,5.063582049120815,0.0
180,12,196.70448584244,1.0,0.2801740707386795,249.36444662848007,1.0,0.336117629493706,35.181827390055034,1.0,0.2255814662117229,132.26171653175663,10.0,0.6898173109892037,159.68392968542105,10.0,0.8002705748808782,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,2682503931.662377,0,0.0,0.0,2.339469920488738,0.0
182,46,156.8623331650346,1.5,0.284869099174914,175.29139257225785,10.0,0.6878928860083937,320.7058872989894,1.0,0.0645039075887448,207.48666543579373,1.0,0.6644502574376052,238.5890726821,1.5,0.8099429944073674,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,4116392555.2182474,0,0.0,0.0,5.093344023371566,0.0
193,105,111.4919824408307,10.0,0.4770467350108573,265.2109969532771,1.5,0.4488164138725879,68.55732651263237,10.0,0.2078277423858915,55.85793932208554,1.5,0.382782541929067,148.81610178178,10.0,0.0444967332669796,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,2721354681.6539307,0,0.0,0.0,3.5379576837924005,0.0
200,128,231.24836728321256,10.0,0.1111690154088326,343.46331313279035,1.0,0.1490338758020959,229.2067237474856,1.0,0.135640172796999,262.21593590424175,1.0,0.2719994621481626,64.23946996504439,1.0,0.2257107363096193,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,3438883088.7493205,0,0.0,0.0,2.161607552099419,0.0
201,99,38.57257707623089,1.0,0.6243083533334035,343.0787207966244,10.0,0.736379031895632,308.1224987485942,10.0,0.2133011936251408,85.8650447195321,10.0,0.2263382682332759,275.01791347186725,1.0,0.9675454924465516,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,1681704859.9904535,0,0.0,0.0,2.717998901677145,0.0
203,36,246.95746301179423,1.0,0.5887806476203865,113.3527674977055,1.5,0.400222179591792,33.07523611403179,1.5,0.1106378919119687,233.99010825219136,1.0,0.0083308448196329,42.00917000326267,10.0,0.365198983314755,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,2446029940.675865,0,0.0,0.0,3.6943032029781135,0.0
205,78,260.36176027652164,10.0,0.5454866292672701,246.15803134673908,1.0,0.8364197867772964,65.66065654907572,1.5,0.0428280637464933,293.8541961822259,1.0,0.5214203732548982,227.9740268300947,10.0,0.3396862920230782,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,2167645678.7022915,0,0.0,0.0,3.6656202334358574,0.0
219,2,257.6331979330795,1.0,0.1771328878616604,70.07970840586736,1.5,0.6236919424629608,297.4207553468583,10.0,0.1595916698365506,162.2446772337024,1.5,0.9148421934924356,72.10300288551323,1.5,0.9468770288346474,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,2880845007.498566,0,0.0,0.0,2.0962886902030786,0.0
221,127,129.00480162712267,10.0,0.891775485846672,154.84204842239416,1.0,0.4967831973480737,62.20244332299296,10.0,0.1261621547950168,349.9978761466716,10.0,0.0553379323280137,341.3975024252202,1.5,0.9031790592647282,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,2390230824.662457,0,0.0,0.0,3.644991193001786,0.0
222,127,45.32079295590064,10.0,0.5176292461211804,84.79617753559107,1.0,0.975846804853962,63.8339216062489,10.0,0.0452384410453493,95.73334425140214,10.0,0.5621694721541569,195.45865971295808,1.0,0.4616635544026495,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,1777322502.756325,0,0.0,0.0,3.686852802706448,0.0
226,124,131.24647274103086,1.0,0.5850087553071385,57.94027906880487,1.0,0.9314251724741764,145.17192580921602,10.0,0.1469222485588004,227.63987023836228,1.5,0.5063522500248351,97.94971391840696,1.0,0.1824787159235976,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,1802331607.4666083,0,0.0,0.0,3.5935607211481715,0.0
227,93,345.7610622695827,1.5,0.311752744272545,221.6010865393792,10.0,0.5310849265655646,312.2557739046446,10.0,0.0572851316546893,245.36824498534088,1.5,0.1291364042868353,263.4155593151902,1.5,0.4556654000360819,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,4361120309.826586,0,0.0,0.0,5.094159186102773,0.0
228,39,42.90382190493892,1.5,0.6766747573114634,197.0188435469504,10.0,0.8283165316506707,57.56056067699977,10.0,0.1420325341863433,33.27582222575258,10.0,0.547199879610652,193.7145301694681,1.0,0.3947262021999342,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,1668959108.9964528,0,0.0,0.0,3.57477566764062,0.0
240,111,96.53365740640062,10.0,0.5024877132217419,55.78791208079919,1.5,0.5595255152897324,344.4975847554188,10.0,0.1516735014146991,38.66544775615803,1.0,0.8747993712633901,321.0010999450042,1.0,0.8966744946382293,1.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,1921133056.4715624,0,0.0,0.0,2.714020757554304,0.0
242,119,235.5634575033997,10.0,0.9539610677172732,325.30148344170175,10.0,0.7122881358648281,264.78898328588394,1.5,0.0814661829724466,130.3738084854427,10.0,0.06284283821982,336.18545852653585,1.0,0.2532736566686443,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,1713675905.8129704,0,0.0,0.0,3.615622612520888,0.0
243,43,302.76055745737443,1.5,0.4915494480058635,330.79384134541743,1.0,0.5604494261021314,115.22556151351418,1.5,0.1636055084851563,343.7070502333144,10.0,0.5931161655149403,275.5705194788178,1.0,0.1021829446555329,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,2054433168.287999,0,0.0,0.0,3.726564431756233,0.0
254,26,218.73610309738012,1.0,0.8311920806715981,305.0181969585649,1.5,0.3913776973845653,176.35512910563466,1.5,0.0752162197396915,105.79586973554458,1.5,0.7295090129840603,282.65322734029326,10.0,0.3059348362020337,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,1989170348.12976,0,0.0,0.0,3.630244753603365,0.0
259,111,188.19315483584143,10.0,0.8089937574336236,242.9427124154927,10.0,0.1330561129365181,142.01743833040916,1.5,0.1212753307218018,148.42979284933062,1.0,0.2329874329159156,178.2123880786135,1.5,0.0380258727905348,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,2735182206.687448,0,0.0,0.0,3.848141040550377,0.0
268,120,130.22999566695347,10.0,0.3253953697125565,97.6956524593403,10.0,0.4123298896540225,322.81043104038304,10.0,0.2158487261740313,152.3742584822264,10.0,0.2082957584776183,101.4401181435216,1.5,0.9226554394945388,3.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,2401909223.8201065,0,0.0,0.0,2.3534296856908963,0.0
